reviews,stars
Pretty decent guitar for beginners... Best for learning and worth every penny,4
Very nice👍👍👍👍,4
Awesome,4
"I haven't received strap, steings and 2 picks",4
I like the feature,4
Good product i am happy 😊 thank you Amazon,4
"I like it was fun after 1 week because in starting it hard to understand the cords and string in fingersIt's been a month now it is good so far but the sound is average some of tabs are not so good while playing tabsBut over-all is very goodIf possible I would recommend you to save some  more money then buy a new Guitar like Yamaha .Those are one time investmentBut if don't know anything about guitar and not sure that you have a inbuilt skill or you need to build it .Overall it is good for a newbies andIf your have any  small brother and sister or any nephew of ages between 15-20  .I recommend please give them as a birthday giftAnd create small Spark so that they can make fire and gain some attention and some confidence and skills can able to add joy in school and college life .It will a wonderful gift for you small brother and sister or nephew .Happy birthday to those who are celebrating andGood life with good personality ,with good vibesLove you all reading my comment.Thank you",3
"Packing is good, great for beginners.",4
"Nice product, worth for money",4
"The media could not be loaded.
                



 Good quality but some scratches on it",4
It's a good guitar for beginners and at a reasonable price offered by Amazon...my son liked it,4
Good keep it up I m happy to buy this,4
good for beginners with low budget,4
Look of this guitar is appreciable at this price also the build quality is good,4
Liked this product. Best product for beginners.,4
Best,4
first i received a product with damage immediately i returned it back and got a replacement with new another one good nice,4
Good product at a cost of 2200. Good for begineers,4
Okay  good for beginnersIn lowest price  its good,4
"The media could not be loaded.
                



 It's fine.. but the action is too high making it hard to play tabs.. and almost impossible to play bar cords.. it's ok for basic open cords.. and sound good enough",3
It is good looking and sound is decent but its only best for few months then its string goes up from the fretboard.If u buy it you have to go on a better guitar after some time.,3
,4
Sounds good & value for money product gor beginners.,4
"I think this is the best budget guitar for beginners, love its finishing & build quality",5
"After using it for almost a year I can suggest it to beginners bcz it is beginner friendly❤️.....& If you want to take a budget guitar for beginners then you will go on it.👍and last thing about this guitar is that, it is very handy[u will perfectly do barre chords & others]....and thats all.😅",5
"I received a piece with micro damages but the reason why I'm giving 5stars is it has the option to replace the item, and only in rare circumstances you will get a damaged products and about th guitar it's the best for this price range and its a best one for the beginners",5
Action is a bit too high….so considerable force is required to ring out the chords….otherwise the condition was perfect,5
Reasonable price for a guitar,4
"The media could not be loaded.
                



 I bought it in awsum price and the product is sooo good ,,it's finishing is just soo fine ,,handled carefully by delivery partner,  thank you so much amazon ..,If any one wanna purchase it go for it ,,it's worth it!!!!!",5
It's strings are not good,3
If you can play something in guitar and if you want good quality sound then go for higher model of this series else it is good for small kids only.,4
Good in this price but could be more better,3
Value for money product 🎸🎸,5
Nice,5
"The Guitar seems to be of good quality and comes with all things that a child would need to get started (Extra strings, cover, strap, etc)",5
Everything is beyond the best,5
If doing everday practice..its posaibe,5
It's good for Beginners,4
Best Guiter For Beginners. And Easy To Learn.,5
"I recommend this guitar for beginners, quite good guitar in 2000 👍🏻",4
"At first I got a defective product, but after replacement, I got the best stock of this!",5
Too good yrr Amazon❤❤❤,5
The Colour and finish are good.Decent sound quality.Had some minor issues in the nut section. That I solved myself.,4
"Very good, handy, and perfect for beginners",5
Its is good for beginners,3
good quality guitar for beginners at this price.,4
Received damage product but Amazon changed it easily.This one is fabulous and worth more .,5
"The media could not be loaded.
                



 You have to tune guitar within 1 or 2 days for better sound quality",5
Nice 👍,4
Good product,5
"I bought this guitar during lockdown oct 2019. It's kind of late as I'm writing this review (i have exams tommorow i don't know what Iam doing xD)So basically this guitar is a beginner guitar but in my opinion a beginner should not have any kind of Barrier blocking them to become a good guitarist and i think this guitar kind of makes the journey less fun, why? Because the sound quality is really very poor it also only has 18 frets, acoustic guitars have 20. It shouldn't really make a difference since you wouldn't be playing that high when first starting out until you reach 1-2 years.TLDR: try to push your budget a bit more and consider buying a dreadnought guitar. Iam altho very grateful for having this as my first Guitar, it taught me how to maintain my guitar.",3
✌✅,5
Not received pick or extra strings,4
I ordered this guitar because of its attractive price and no doubt that at this price range this guitar is amazing i would recommend this guitar to beginners who are planning to buy a guitar .🍁,5
"Guitar came fully packed with bubble wrap. No damage occured to guitar. All items were delivered (guitar, bag, 2 peck and pack of strings.). Stunning look. I don't know about the quality of sound as I am a begineer and so no idea about that. Otherwise top notch!",5
Nice guitar for beginners to learn.,4
Good quality perfect for beginners and professionals,5
Actually it is good for beginner in rs 2000 you can just go for the cheaper one and then you know how to play guitar you get expectives in how to play guitar so then you can go for expensive one like so mean,3
"Picks miss, call to customers care they suggested to purchase new picks, we will be Rieumbers the bill.",3
GOOD,3
