reviews,stars
"Nice product received 👌, good for beginners",4
"If you are a beginner go for it for this price i think it's the best, sound quality is mid but what do you really expect, would recommend to upgrade the strings if you want better sounding guitar",5
"The media could not be loaded.
                



 Sound quality is pretty good. I got the desirous one and this is first guitar 🥰",4
Good,3
Sound is better than other guitars which are even comparatively higher in price.. but i can't say its just my luck or the product is really good.. but the product i got is better than 5k 7k guitars..,5
Very good guitar in this range and good  for beginners,4
Good quality and sound.,4
I like,5
It's great for beginners who are just getting into playing guitars and it's worth the money.,5
"The media could not be loaded.
                



 Good",5
"Good product, value for money",4
"This is not a professional guitar. For beginners. I  highly recommend it as it has a good finish, good quality strings and good sound.",5
Sound quality was great. For beginners this is a great one to have,5
Good,5
If you want to buy a guitar for long run and professional future... Sorry to say this is not the one you are searching for. This is only for those want a guitar for taking photos or just to try guitar.,3
"The media could not be loaded.
                



 I have bought this few days back and trust the makers I am amazed to see such a beautiful guitar at a price under 2K..It's the Sound.Well I have played a lot of guitars over the years and it all comes down to the sound quality of the guitar and the buzz in the strings when you play it either concert or in a studio. And the response from this guitar is just beautiful as it looks. The stock string sound deliciously melodious and no distuning feel to it.Who is it for?It's for beginners. BUT. What the heck it's for all.I mean if you play chords until the 12 fret it's comfortable and as I said the sound is on point. To learning it is made for but the sound can be worth for studios.Long term.I am sorry. I don't know how it may lead to a long term investment. But if you take care of it it will just take care of the sound for you. And come on it's like 1800 rupees. Enjoy and play.What can you play.RiffsChordsSlideLead (anything after 12 fret is up to how good you are without your thumb as there isn't any cut)TappingSweep picking.I bought it for my friend who is a beginner. I suggest it's worth every penny and maybe more.",5
,3
It's good for beginner... sound output is also good,4
liked the product but not satisfied as the neck or fretboard is very rough which can lead to chapped skin on fingers,3
"If you are a true beginer then you should go for it...Sound quality of guitar is not that good as i have bought for my nephew.. i use yamaha f310 so i dont like its sound..Tuning pegs are lil firm and feels like descent plastic material..I should suggest , if you are a beginer dont know much then u should go for it...",3
Its a great guitar for beginners at a really great price but I would suggest you if you really are interested in learning guitar then you should spend some more money and get a yamha one or a kadence which are high quality. The worst thing about this guitar was that the strings were of very cheap quality. I had to change them and you can see them in the pic.  Overall sound quality is also good.,3
"Well, this is my 2nd guiter that is Juarez 38C, i bought the same guiter a year ago, it was like super guiter to me as i was just a beginer back in those days, but this time i ordered the same one just to gift some one and the guiter i got has too many SCRATCH all over it's body and it has a visible DENT on it's back, needlessly or shamelessly the guiter sounds really good. It feels like somebody has already used it.Theres a REQUEST in this REVIEW:: Please have a look at it, when we buy something from a seller we keep our own FANTASY for that item, we should not say ""disgusting"".VALUE FOR MONEY I say.. thanks.",5
Good product but damage on neck joint,4
Juarez is cheat me maine sun burst color guitar order kiya tha but wrong color bhej diya Reuter karne ke baad na hi mera refund aaya or na hi kore products bheja coustermer care main call karo to bolte h hum aapki koee help nahi kar sakte h,1
All items not send this picture why,1
"Guitar is light weight and value for money but i have problem with string... after delivery of guitar,2 strings break after 1 hour but they also give extra strings so its not a big problem..guitar sound is great and overall its good for you if you are beginner",4
"The media could not be loaded.
                



 The guitar has excellent looks and a great design for such a cheap price but the distance between the fretboard and the strings is very high, due to it the fingers of the player hurt a lot and it becomes difficult to play. I would not recommend to buy it, especially not as a beginners guitar (as it has high action). The guitar I received has some cracks on the neck due to which it might not last more that 4-5 months even only if you handle it with care every time you play it. My recommendation is that if you have a fine budget do not buy this.",3
Nice one,4
This product's delivery was super awesome..no any scratch..and..it's has good sound quality and easy comfort for handling..go for it if u r beginner,4
It's survived all this time... They give u extra strings too.... Its for basic practise and nothing else....... If u want to start learning guitar best bet is this... But sound quality is trash and very fast gets out of tune hence need to tune it regularly...... Sometime carry over vibrations can change the note u are playing but that's what u would expect out of cheap guitar... But for beginners who don't know whether u are going to continue or not this toy is ideal... Solid 7/10,4
"Good only for beginners when you don't understand the basics of playing a guitar.The gap between the frets and the strings is quite big and you realise this only after 2-3 months and on playing other good guitars.Half your concentration goes in managing this gap and getting the right tone for the note you are pressing. This is a design defect of the frets and this defeats the purpose of playing a guitar, especially when you start learning to play tunes.Recommended only for beginners and that too for 3-4 months only.",3
It's a good quality guitar for beginners.The guitar is not tuned and hence you have to tune it on your own. Otherwise I am quite satisfied,4
"First of all the guitar isn’t that big as you might think. It’s suitable for kids and teens.The sound is okay.. the strings not so.I bought this guitar a couple of months ago but after a few sessions, the string broke and the gap between the fretboard and the string grew more and more. Planning to sell it soon lol",2
"Its the best Guitar for beginners.. Sound quality is awesome... Packaging of this guitar was so rough.  Luckily i got an unbroken one.... Otherwise it would have been broken if i say about packaging.  But its a cute , small and beautiful guitar for someone who wants to play it for the very first time..  i love it..",4
Guitar is in good condition though packaging was not that careful. However better for beginners so learn and grow....welcome to the new community of guitarist...and those who love music...,4
Advantages:- Good choice of beginner 1-2 year tak use kar sakte ho after learning then you can buy a new one.Disadvantages:- the body of guitar is not of as hard wood as the fretboard . The fretboard is having a great quality,4
Strings are of not so good quality. This guitar iS very sensitive.,4
Buy only for practice and not for professional.Decent product..,3
I will only say that you get what you pay for. The built of the guitar is pretty good and you won't be disappointed with it. I can't say much about the sound quality as I am a beginner but I think it is just fine for someone who is just starting to learn guitar.,4
There are apps available to tune the guitar and it’s easy as well. Once tuned it sounds good.Build quality is ok at this price point. A musical instrument at this price point is a very good proposition for beginners.,4
I have buyed nearly 20 - 25 guitar but this is super incredible ! You must buy it. It's theBest guitar if you see it's price its very reasonable may God bless Juarez brand.,5
Best product for beginners..value for money…,4
Good but small,4
"It's all cool.... Beautiful sound and all... But is a lil brittle, it cracked near the hole when I dropped it for the first time, thought sound remained un affected. So if u wanna buy a budget guitar with good acoustics, this one's good to go, with a cautious use.",3
Good for first  timer,4
Good for beingners sound quality also good in this price range I got this at 1690 in Amazon sale 4 star for finishing is not good from some sides but overall good use it 5-6 month then you but another if you feel that you are passionate about guiterEasily you can buy so cheap then you Learn from that and buy another when you got some perfect knowledge,4
"The Guitar is Just woww.... The strings are of copper and metal picks are designed and beautifully coloured, the strap is of fit size. (Amazing Purchase from the house of Juarez , and thanks amazon for this brilliant product.1.Good for beginners.2.sound quality is average(good in that price).presentation is good but quality is average.After noticing all features ithint that you should go for it.",4
"Guitar:Quality is Good. Value for MoneyColor Finishing is Awesome.Packaging was Very Good.Delivery was Lightning Fast.This Guitar is Small for Adults. It Has Long Scales For Finger Straching ExercerciesSuitable for Kids 10-18 yr Only.This Guitar is Only Replaceable, No Option to Return.Guitar Bag:Made of Thin Material. Not Paded not be Able to Protect the Guitar while Traveling, But Good for Just Storing it in Home.Strap:It is Good for the Price Point of the Guitar.",4
"Got in hand as shown in image. As i'm an absolute beginner, haven't found any damage in the piece. Sound quality is good. A masterpiece for beginners at negotiable rate",4
"I thought it would be delivered broken to me,but packaging was very good.I dont think this is for beginners as action is too high but overall anyone should not expect anything good in this price.",3
,3
Avarage quality packaging not good,2
"Although the make is good and it looks pretty. The piece that I got had rusted strings. Have ordered a replacement, but now I’m worried that the strings will rust in future.Update, got the replaced item but still worried that the strings will rust in future.",4
very good,3
"A definitely good start for absolute beginners. Since you are getting too much for less price, I am not gonna talk about quality but if you just wanna start learning during the lockdown and buy a good guitar, later on, this one is probably a good choice.",4
"It has fret buzz, mainly due to the strings which are not so good. You need to change the strings to high quality ones to reduce that. The action is also a lot. But overall it's a great guitar for beginners.",4
