,reviews,stars
0,"I have not integrated it with anything. I just use it for listening to music or find out quick information from net. My daughter uses it for alarm etc. We find it very convenient. I love the feature of voice based command as 8 can just listen to anything by asking Alexa, while i am working at home.",4
1,"I had a mini for some time but it just wouldn’t recognise my mother’s commands. I bought this dot as i got it for a good price, expecting similar experience but i was taken aback by how well it recognised commands even with a thick accent all the while playing music at a high volume. It executes smart home tasks remarkably well and better than nest mini.All things considered it’s a great accessory to have for your smart home ecosystem.",4
2,In this product please provide a battery with 10 hours play back continuously.,4
3,Device not control Samsung smart tv,4
4,Good to have one especially for small kids .,4
5,It's value for money,4
6,Very Nice sound quality is good its working perfectly,4
7,,4
8,Sound quality is good,4
9,Super integration,4
10,"I have not integrated it with anything. I just use it for listening to music or find out quick information from net. My daughter uses it for alarm etc. We find it very convenient. I love the feature of voice based command as 8 can just listen to anything by asking Alexa, while i am working at home.",4
11,"I had a mini for some time but it just wouldn’t recognise my mother’s commands. I bought this dot as i got it for a good price, expecting similar experience but i was taken aback by how well it recognised commands even with a thick accent all the while playing music at a high volume. It executes smart home tasks remarkably well and better than nest mini.All things considered it’s a great accessory to have for your smart home ecosystem.",4
12,In this product please provide a battery with 10 hours play back continuously.,4
13,Device not control Samsung smart tv,4
14,Good to have one especially for small kids .,4
15,It's value for money,4
16,Very Nice sound quality is good its working perfectly,4
17,,4
18,Sound quality is good,4
19,Super integration,4
20,"I have not integrated it with anything. I just use it for listening to music or find out quick information from net. My daughter uses it for alarm etc. We find it very convenient. I love the feature of voice based command as 8 can just listen to anything by asking Alexa, while i am working at home.",4
21,"I had a mini for some time but it just wouldn’t recognise my mother’s commands. I bought this dot as i got it for a good price, expecting similar experience but i was taken aback by how well it recognised commands even with a thick accent all the while playing music at a high volume. It executes smart home tasks remarkably well and better than nest mini.All things considered it’s a great accessory to have for your smart home ecosystem.",4
22,In this product please provide a battery with 10 hours play back continuously.,4
23,Device not control Samsung smart tv,4
24,Good to have one especially for small kids .,4
25,It's value for money,4
26,Very Nice sound quality is good its working perfectly,4
27,,4
28,Sound quality is good,4
29,Super integration,4
30,"I have not integrated it with anything. I just use it for listening to music or find out quick information from net. My daughter uses it for alarm etc. We find it very convenient. I love the feature of voice based command as 8 can just listen to anything by asking Alexa, while i am working at home.",4
31,"I had a mini for some time but it just wouldn’t recognise my mother’s commands. I bought this dot as i got it for a good price, expecting similar experience but i was taken aback by how well it recognised commands even with a thick accent all the while playing music at a high volume. It executes smart home tasks remarkably well and better than nest mini.All things considered it’s a great accessory to have for your smart home ecosystem.",4
32,In this product please provide a battery with 10 hours play back continuously.,4
33,Device not control Samsung smart tv,4
34,Good to have one especially for small kids .,4
35,It's value for money,4
36,Very Nice sound quality is good its working perfectly,4
37,,4
38,Sound quality is good,4
39,Super integration,4
40,"I have not integrated it with anything. I just use it for listening to music or find out quick information from net. My daughter uses it for alarm etc. We find it very convenient. I love the feature of voice based command as 8 can just listen to anything by asking Alexa, while i am working at home.",4
41,"I had a mini for some time but it just wouldn’t recognise my mother’s commands. I bought this dot as i got it for a good price, expecting similar experience but i was taken aback by how well it recognised commands even with a thick accent all the while playing music at a high volume. It executes smart home tasks remarkably well and better than nest mini.All things considered it’s a great accessory to have for your smart home ecosystem.",4
42,In this product please provide a battery with 10 hours play back continuously.,4
43,Device not control Samsung smart tv,4
44,Good to have one especially for small kids .,4
45,It's value for money,4
46,Very Nice sound quality is good its working perfectly,4
47,,4
48,Sound quality is good,4
49,Super integration,4
50,"I have not integrated it with anything. I just use it for listening to music or find out quick information from net. My daughter uses it for alarm etc. We find it very convenient. I love the feature of voice based command as 8 can just listen to anything by asking Alexa, while i am working at home.",4
51,"I had a mini for some time but it just wouldn’t recognise my mother’s commands. I bought this dot as i got it for a good price, expecting similar experience but i was taken aback by how well it recognised commands even with a thick accent all the while playing music at a high volume. It executes smart home tasks remarkably well and better than nest mini.All things considered it’s a great accessory to have for your smart home ecosystem.",4
52,In this product please provide a battery with 10 hours play back continuously.,4
53,Device not control Samsung smart tv,4
54,Good to have one especially for small kids .,4
55,It's value for money,4
56,Very Nice sound quality is good its working perfectly,4
57,,4
58,Sound quality is good,4
59,Super integration,4
60,"I have not integrated it with anything. I just use it for listening to music or find out quick information from net. My daughter uses it for alarm etc. We find it very convenient. I love the feature of voice based command as 8 can just listen to anything by asking Alexa, while i am working at home.",4
61,"I had a mini for some time but it just wouldn’t recognise my mother’s commands. I bought this dot as i got it for a good price, expecting similar experience but i was taken aback by how well it recognised commands even with a thick accent all the while playing music at a high volume. It executes smart home tasks remarkably well and better than nest mini.All things considered it’s a great accessory to have for your smart home ecosystem.",4
62,In this product please provide a battery with 10 hours play back continuously.,4
63,Device not control Samsung smart tv,4
64,Good to have one especially for small kids .,4
65,It's value for money,4
66,Very Nice sound quality is good its working perfectly,4
67,,4
68,Sound quality is good,4
69,Super integration,4
70,"I have not integrated it with anything. I just use it for listening to music or find out quick information from net. My daughter uses it for alarm etc. We find it very convenient. I love the feature of voice based command as 8 can just listen to anything by asking Alexa, while i am working at home.",4
71,"I had a mini for some time but it just wouldn’t recognise my mother’s commands. I bought this dot as i got it for a good price, expecting similar experience but i was taken aback by how well it recognised commands even with a thick accent all the while playing music at a high volume. It executes smart home tasks remarkably well and better than nest mini.All things considered it’s a great accessory to have for your smart home ecosystem.",4
72,In this product please provide a battery with 10 hours play back continuously.,4
73,Device not control Samsung smart tv,4
74,Good to have one especially for small kids .,4
75,It's value for money,4
76,Very Nice sound quality is good its working perfectly,4
77,,4
78,Sound quality is good,4
79,Super integration,4
80,"I have not integrated it with anything. I just use it for listening to music or find out quick information from net. My daughter uses it for alarm etc. We find it very convenient. I love the feature of voice based command as 8 can just listen to anything by asking Alexa, while i am working at home.",4
81,"I had a mini for some time but it just wouldn’t recognise my mother’s commands. I bought this dot as i got it for a good price, expecting similar experience but i was taken aback by how well it recognised commands even with a thick accent all the while playing music at a high volume. It executes smart home tasks remarkably well and better than nest mini.All things considered it’s a great accessory to have for your smart home ecosystem.",4
82,In this product please provide a battery with 10 hours play back continuously.,4
83,Device not control Samsung smart tv,4
84,Good to have one especially for small kids .,4
85,It's value for money,4
86,Very Nice sound quality is good its working perfectly,4
87,,4
88,Sound quality is good,4
89,Super integration,4
90,"I have not integrated it with anything. I just use it for listening to music or find out quick information from net. My daughter uses it for alarm etc. We find it very convenient. I love the feature of voice based command as 8 can just listen to anything by asking Alexa, while i am working at home.",4
91,"I had a mini for some time but it just wouldn’t recognise my mother’s commands. I bought this dot as i got it for a good price, expecting similar experience but i was taken aback by how well it recognised commands even with a thick accent all the while playing music at a high volume. It executes smart home tasks remarkably well and better than nest mini.All things considered it’s a great accessory to have for your smart home ecosystem.",4
92,In this product please provide a battery with 10 hours play back continuously.,4
93,Device not control Samsung smart tv,4
94,Good to have one especially for small kids .,4
95,It's value for money,4
96,Very Nice sound quality is good its working perfectly,4
97,,4
98,Sound quality is good,4
99,Super integration,4
